,cut,color,clarity,depth,table,x,y,z,carat,price
0,4,4,1,61.5,55.0,3.95,3.98,2.43,0.23,326
1,3,4,2,59.8,61.0,3.89,3.84,2.31,0.21,326
2,1,4,4,56.9,65.0,4.05,4.07,2.31,0.23,327
3,3,8,3,62.4,58.0,4.2,4.23,2.63,0.29,334
4,1,9,1,63.3,58.0,4.34,4.35,2.75,0.31,335
5,2,9,5,62.8,57.0,3.94,3.96,2.48,0.24,336
6,2,8,6,62.3,57.0,3.95,3.98,2.47,0.24,336
7,2,7,2,61.9,55.0,4.07,4.11,2.53,0.26,337
8,0,4,3,65.1,61.0,3.87,3.78,2.49,0.22,337
9,2,7,4,59.4,61.0,4.0,4.05,2.39,0.23,338
10,1,9,2,64.0,55.0,4.25,4.28,2.73,0.3,339
11,4,9,4,62.8,56.0,3.93,3.9,2.46,0.23,340
12,3,5,2,60.4,61.0,3.88,3.84,2.33,0.22,342
13,4,9,1,62.2,54.0,4.35,4.37,2.71,0.31,344
14,3,4,1,60.2,62.0,3.79,3.75,2.27,0.2,345
15,3,4,0,60.9,58.0,4.38,4.42,2.68,0.32,345
16,4,8,1,62.0,54.0,4.31,4.34,2.68,0.3,348
17,1,9,2,63.4,54.0,4.23,4.29,2.7,0.3,351
18,1,9,2,63.8,56.0,4.23,4.26,2.71,0.3,351
19,2,9,2,62.7,59.0,4.21,4.27,2.66,0.3,351
20,1,8,1,63.3,56.0,4.26,4.3,2.71,0.3,351
21,2,4,3,63.8,55.0,3.85,3.92,2.48,0.23,352
22,2,7,4,61.0,57.0,3.94,3.96,2.41,0.23,353
23,2,9,2,59.4,62.0,4.39,4.43,2.62,0.31,353
24,2,9,2,58.1,62.0,4.44,4.47,2.59,0.31,353
25,2,6,5,60.4,58.0,3.97,4.01,2.41,0.23,354
26,3,8,4,62.5,57.0,3.97,3.94,2.47,0.24,355
27,2,9,3,62.2,57.0,4.28,4.3,2.67,0.3,357
28,2,3,3,60.5,61.0,3.96,3.97,2.4,0.23,357
29,2,5,4,60.9,57.0,3.96,3.99,2.42,0.23,357
30,2,5,4,60.0,57.0,4.0,4.03,2.41,0.23,402
31,2,5,4,59.8,57.0,4.04,4.06,2.42,0.23,402
32,2,4,4,60.7,59.0,3.97,4.01,2.42,0.23,402
33,2,4,4,59.5,58.0,4.01,4.06,2.4,0.23,402
34,2,3,4,61.9,58.0,3.92,3.96,2.44,0.23,402
35,1,5,4,58.2,59.0,4.06,4.08,2.37,0.23,402
36,1,4,4,64.1,59.0,3.83,3.85,2.46,0.23,402
37,1,7,2,64.0,54.0,4.29,4.31,2.75,0.31,402
38,2,3,3,60.8,59.0,4.13,4.16,2.52,0.26,403
39,4,8,1,61.8,55.0,4.49,4.51,2.78,0.33,403
40,4,8,1,61.2,56.0,4.49,4.5,2.75,0.33,403
41,4,9,2,61.1,56.0,4.49,4.55,2.76,0.33,403
42,1,3,3,65.2,56.0,3.99,4.02,2.61,0.26,403
43,1,3,4,58.4,63.0,4.19,4.24,2.46,0.26,403
44,1,7,1,63.1,56.0,4.34,4.37,2.75,0.32,403
45,3,5,2,62.4,58.0,4.24,4.26,2.65,0.29,403
46,2,7,1,61.8,55.0,4.35,4.42,2.71,0.32,403
47,1,7,1,63.8,56.0,4.36,4.38,2.79,0.32,403
48,2,4,3,63.3,60.0,4.0,4.03,2.54,0.25,404
49,2,7,1,60.7,60.0,4.33,4.37,2.64,0.29,404
50,2,5,2,60.9,61.0,4.02,4.03,2.45,0.24,404
51,4,6,4,61.9,54.0,3.93,3.95,2.44,0.23,404
52,4,8,2,60.9,55.0,4.45,4.48,2.72,0.32,404
53,3,4,3,61.6,58.0,3.93,3.89,2.41,0.22,404
54,3,3,3,59.3,62.0,3.91,3.88,2.31,0.22,404
55,4,8,1,61.0,59.0,4.3,4.33,2.63,0.3,405
56,3,9,1,59.3,61.0,4.43,4.38,2.61,0.3,405
57,2,8,2,62.6,57.0,4.25,4.28,2.67,0.3,405
58,2,8,2,63.0,57.0,4.28,4.32,2.71,0.3,405
59,1,8,2,63.2,55.0,4.25,4.29,2.7,0.3,405
60,4,8,4,60.9,57.0,4.54,4.59,2.78,0.35,552
61,3,3,2,62.6,59.0,4.23,4.27,2.66,0.3,552
62,4,3,2,62.5,57.0,4.29,4.32,2.69,0.3,552
63,4,3,2,62.1,56.0,4.3,4.33,2.68,0.3,552
64,3,8,1,61.5,59.0,4.78,4.84,2.96,0.42,552
65,4,6,5,61.4,56.0,4.19,4.22,2.58,0.28,553
66,4,8,6,62.0,55.3,4.39,4.42,2.73,0.32,553
67,2,6,2,63.3,57.0,4.33,4.3,2.73,0.31,553
68,3,6,2,61.8,58.0,4.35,4.32,2.68,0.31,553
69,3,4,6,60.7,58.0,4.01,4.03,2.44,0.24,553
70,2,3,6,61.5,60.0,3.97,4.0,2.45,0.24,553
71,2,7,2,63.1,56.0,4.29,4.27,2.7,0.3,554
72,3,7,2,62.9,59.0,4.28,4.24,2.68,0.3,554
73,3,7,2,62.5,57.0,4.29,4.25,2.67,0.3,554
74,1,7,2,63.7,57.0,4.28,4.26,2.72,0.3,554
75,2,5,5,59.2,60.0,4.19,4.22,2.49,0.26,554
76,2,4,5,59.9,58.0,4.15,4.23,2.51,0.26,554
77,2,3,5,62.4,54.0,4.08,4.13,2.56,0.26,554
78,2,3,5,62.8,60.0,4.01,4.05,2.53,0.26,554
79,2,4,6,62.6,59.0,4.06,4.09,2.55,0.26,554
80,2,4,6,63.4,59.0,4.0,4.04,2.55,0.26,554
81,2,3,6,62.1,60.0,4.03,4.12,2.53,0.26,554
82,4,4,5,62.9,58.0,4.02,4.06,2.54,0.26,554
83,4,8,1,61.6,56.0,4.65,4.67,2.87,0.38,554
84,1,4,6,57.9,60.0,4.22,4.25,2.45,0.26,554
85,3,6,6,62.3,59.0,3.95,3.92,2.45,0.24,554
86,3,7,6,61.2,58.0,4.01,3.96,2.44,0.24,554
87,3,7,6,60.8,59.0,4.02,4.0,2.44,0.24,554
88,3,7,5,60.7,58.0,4.07,4.04,2.46,0.24,554
89,3,8,2,62.9,58.0,4.35,4.33,2.73,0.32,554
90,4,4,2,62.5,57.0,5.7,5.72,3.57,0.7,2757
91,0,4,1,55.1,69.0,6.45,6.33,3.52,0.86,2757
92,4,6,3,61.6,56.0,5.7,5.67,3.5,0.7,2757
93,2,4,3,62.4,57.0,5.68,5.73,3.56,0.71,2759
94,2,6,1,63.8,56.0,5.81,5.85,3.72,0.78,2759
95,1,4,3,57.5,58.0,5.85,5.9,3.38,0.7,2759
96,1,5,4,59.4,62.0,5.71,5.76,3.4,0.7,2759
97,0,5,1,66.3,62.0,6.27,5.95,4.07,0.96,2759
98,2,4,2,61.6,59.0,5.77,5.78,3.56,0.73,2760
99,3,7,2,61.5,58.0,5.97,5.93,3.66,0.8,2760
100,2,3,2,63.2,56.0,5.8,5.75,3.65,0.75,2760
101,3,4,2,59.9,54.0,6.0,5.96,3.58,0.75,2760
102,4,6,2,61.6,55.0,5.8,5.85,3.59,0.74,2760
103,3,6,3,61.7,58.0,5.85,5.79,3.59,0.75,2760
104,4,8,4,62.9,56.0,5.94,5.87,3.72,0.8,2760
105,4,6,2,62.2,55.0,5.87,5.8,3.63,0.75,2760
106,3,6,2,63.0,59.0,5.9,5.81,3.69,0.8,2760
107,4,8,5,62.3,55.0,5.77,5.81,3.61,0.74,2761
108,4,5,1,58.8,57.0,6.14,6.11,3.6,0.81,2761
109,4,4,5,62.0,55.0,5.38,5.43,3.35,0.59,2761
110,4,5,1,61.4,57.0,5.96,6.0,3.67,0.8,2761
111,4,4,1,62.2,56.0,5.8,5.84,3.62,0.74,2761
112,3,8,3,63.0,58.0,6.16,6.12,3.87,0.9,2761
113,2,6,2,62.2,59.0,5.73,5.82,3.59,0.74,2762
114,4,5,3,62.6,56.0,5.77,5.74,3.6,0.73,2762
